country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Russian Federation,Praskoveya,51,moderate,1,good,36,good,0,good,51,moderate
Brazil,Presidente Dutra,41,good,1,good,5,good,1,good,41,good
Italy,Priolo Gargallo,66,moderate,1,good,39,good,2,good,66,moderate
Poland,Przasnysz,34,good,1,good,34,good,0,good,20,good
France,Punaauia,22,good,0,good,22,good,0,good,6,good
United States of America,Punta Gorda,54,moderate,1,good,14,good,11,good,54,moderate
Germany,Puttlingen,62,moderate,1,good,35,good,3,good,62,moderate
Belgium,Puurs,64,moderate,1,good,29,good,7,good,64,moderate
Russian Federation,Pyatigorsk,54,moderate,1,good,41,good,1,good,54,moderate
Egypt,Qalyub,142,unhealthy for sensitive groups,3,good,89,moderate,9,good,142,unhealthy for sensitive groups
China,Qinzhou,68,moderate,2,good,68,moderate,1,good,58,moderate
Netherlands,Raalte,41,good,1,good,24,good,6,good,41,good
India,Radaur,158,unhealthy,3,good,139,unhealthy for sensitive groups,1,good,158,unhealthy
Pakistan,Radhan,158,unhealthy,1,good,50,good,1,good,158,unhealthy
Republic of North Macedonia,Radovis,83,moderate,1,good,46,good,0,good,83,moderate
France,Raismes,59,moderate,1,good,30,good,4,good,59,moderate
India,Rajgir,154,unhealthy,3,good,100,unhealthy for sensitive groups,2,good,154,unhealthy
Italy,Ramacca,55,moderate,1,good,47,good,0,good,55,moderate
United States of America,Phoenix,72,moderate,1,good,4,good,23,good,72,moderate
India,Phulabani,161,unhealthy,2,good,71,moderate,0,good,161,unhealthy
Poland,Piaseczno,28,good,1,good,28,good,2,good,28,good
India,Pimpri,118,unhealthy for sensitive groups,2,good,30,good,2,good,118,unhealthy for sensitive groups
Brazil,Pindobacu,33,good,0,good,10,good,1,good,33,good
China,Pingyin,150,unhealthy,3,good,95,moderate,6,good,150,unhealthy
Brazil,Pinheiral,154,unhealthy,5,good,0,good,13,good,154,unhealthy
India,Piravam,81,moderate,1,good,24,good,1,good,81,moderate
Colombia,Plato,67,moderate,1,good,16,good,2,good,67,moderate
Romania,Poiana Mare,62,moderate,1,good,37,good,1,good,62,moderate
Russian Federation,Polevskoy,31,good,1,good,31,good,0,good,17,good
France,Pontarlier,56,moderate,1,good,35,good,0,good,56,moderate
United States of America,Pontiac,77,moderate,2,good,22,good,15,good,77,moderate
Indonesia,Pontianak,44,good,1,good,15,good,0,good,44,good
Brazil,Porecatu,30,good,1,good,9,good,2,good,30,good
Finland,Pori,30,good,1,good,30,good,1,good,15,good
South Africa,Port Elizabeth,79,moderate,3,good,18,good,5,good,79,moderate
United States of America,Port Neches,34,good,1,good,19,good,7,good,34,good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,moderate,1,good,20,good,5,good,51,moderate
United States of America,Portales,77,moderate,1,good,34,good,0,good,77,moderate
United States of America,Post Falls,61,moderate,1,good,32,good,3,good,61,moderate
Brazil,Pouso Alegre,32,good,1,good,7,good,2,good,32,good
China,Dalinghe,64,moderate,3,good,64,moderate,4,good,64,moderate
Russian Federation,Dalnegorsk,29,good,0,good,29,good,0,good,25,good
United Republic of Tanzania,Dar Es Salaam,51,moderate,1,good,23,good,0,good,51,moderate
India,Darbhanga,247,very unhealthy,3,good,162,unhealthy,1,good,247,very unhealthy
United States of America,Dayton,45,good,1,good,32,good,7,good,45,good
Belgium,Deinze,36,good,1,good,25,good,3,good,36,good
Egypt,Dekernes,81,moderate,2,good,81,moderate,4,good,56,moderate
Haiti,Delmas,124,unhealthy for sensitive groups,2,good,15,good,5,good,124,unhealthy for sensitive groups
United States of America,Deming,72,moderate,1,good,26,good,2,good,72,moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55,moderate,0,good,32,good,1,good,55,moderate
United States of America,Destin,31,good,0,good,31,good,0,good,25,good
Pakistan,Dhadar,157,unhealthy,1,good,89,moderate,0,good,157,unhealthy
India,Dharmapuri,60,moderate,1,good,31,good,1,good,60,moderate
Pakistan,Digri,153,unhealthy,1,good,40,good,0,good,153,unhealthy
Somalia,Dinsor,22,good,0,good,19,good,0,good,22,good
Philippines,Dipolog,30,good,1,good,17,good,0,good,30,good
Latvia,Dobele,44,good,1,good,34,good,0,good,44,good
United States of America,Grandville,47,good,1,good,37,good,4,good,47,good
Netherlands,Grave,37,good,0,good,32,good,2,good,37,good
United States of America,Green Valley,44,good,1,good,14,good,8,good,44,good
United States of America,Greendale,58,moderate,2,good,14,good,24,good,58,moderate
Poland,Grudziadz,37,good,0,good,33,good,0,good,37,good
Colombia,Guamo,89,moderate,3,good,3,good,6,good,89,moderate
Italy,Guardiagrele,52,moderate,2,good,38,good,7,good,52,moderate
Chad,Guelengdeng,59,moderate,2,good,16,good,0,good,59,moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51,moderate,1,good,25,good,6,good,51,moderate
Philippines,Guiset,66,moderate,1,good,26,good,1,good,66,moderate
Russian Federation,Gukovo,38,good,1,good,38,good,0,good,13,good
United States of America,Havre De Grace,34,good,1,good,30,good,7,good,34,good
United States of America,Hazelwood,88,moderate,2,good,11,good,20,good,88,moderate
Germany,Heddesheim,54,moderate,1,good,31,good,3,good,54,moderate
Germany,Heiligenhaus,44,good,1,good,28,good,3,good,44,good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,moderate,1,good,26,good,6,good,51,moderate
United States of America,Hicksville,67,moderate,2,good,15,good,23,good,67,moderate
Brazil,Hidrolandia,42,good,1,good,5,good,2,good,42,good
India,Gyanpur,189,unhealthy,2,good,99,moderate,1,good,189,unhealthy
Germany,Haiger,49,good,1,good,25,good,3,good,49,good
China,Hangzhou,203,very unhealthy,5,good,203,very unhealthy,5,good,151,unhealthy
Germany,Harrislee,35,good,0,good,32,good,0,good,35,good
United States of America,Harrison,90,moderate,1,good,25,good,2,good,90,moderate
India,Harur,67,moderate,1,good,26,good,1,good,67,moderate
Germany,Hasbergen,36,good,0,good,34,good,1,good,36,good
France,Haubourdin,48,good,1,good,28,good,4,good,48,good
United States of America,Taunton,41,good,1,good,28,good,10,good,41,good
New Zealand,Tauranga,19,good,0,good,19,good,1,good,17,good
Tunisia,Tawzar,73,moderate,1,good,43,good,0,good,73,moderate
Viet Nam,Tay Ninh,45,good,0,good,18,good,1,good,45,good
Iran (Islamic Republic of),Taybad,170,unhealthy,1,good,43,good,0,good,170,unhealthy
Italy,Teano,47,good,1,good,47,good,1,good,36,good
India,Tekkali,155,unhealthy,3,good,82,moderate,1,good,155,unhealthy
Brazil,Teodoro Sampaio,46,good,1,good,9,good,1,good,46,good
Mexico,Tepeaca,172,unhealthy,5,good,2,good,11,good,172,unhealthy
Mexico,Tequila,64,moderate,1,good,15,good,2,good,64,moderate
Italy,Teramo,44,good,1,good,44,good,1,good,38,good
Viet Nam,Thai Nguyen,150,unhealthy,3,good,150,unhealthy,1,good,105,unhealthy for sensitive groups
China,Tianjin,142,unhealthy for sensitive groups,4,good,113,unhealthy for sensitive groups,9,good,142,unhealthy for sensitive groups
Indonesia,Tidore,21,good,0,good,13,good,0,good,21,good
Romania,Timisoara,47,good,1,good,42,good,0,good,47,good
Tunisia,Tinjah,48,good,1,good,48,good,1,good,29,good
Philippines,Toboso,54,moderate,1,good,20,good,0,good,54,moderate
Japan,Tokorozawa,60,moderate,1,good,44,good,3,good,60,moderate
Mexico,Toluca,166,unhealthy,4,good,8,good,19,good,166,unhealthy
Brazil,Itapissuma,27,good,0,good,23,good,1,good,27,good
Brazil,Itarantim,23,good,1,good,7,good,1,good,23,good
Brazil,Itumbiara,31,good,1,good,13,good,0,good,31,good
Mexico,Ixtaczoquitlan,88,moderate,3,good,13,good,9,good,88,moderate
El Salvador,Izalco,90,moderate,2,good,22,good,9,good,90,moderate
United Republic of Tanzania,Izazi,28,good,1,good,15,good,0,good,28,good
Russian Federation,Izberbash,51,moderate,1,good,38,good,0,good,51,moderate
India,Jabalpur,170,unhealthy,1,good,38,good,0,good,170,unhealthy
Brazil,Jaguaquara,22,good,0,good,9,good,1,good,22,good
India,Jahanabad,168,unhealthy,4,good,168,unhealthy,1,good,156,unhealthy
Bulgaria,Jambol,40,good,1,good,40,good,0,good,32,good
Poland,Jarocin,47,good,1,good,27,good,2,good,47,good
Philippines,Jasaan,59,moderate,1,good,32,good,0,good,59,moderate
Nigeria,Ilobu,133,unhealthy for sensitive groups,4,good,23,good,3,good,133,unhealthy for sensitive groups
Finland,Imatra,29,good,1,good,29,good,1,good,7,good
Brazil,Indaial,73,moderate,2,good,2,good,8,good,73,moderate
Philippines,Indang,50,good,0,good,24,good,0,good,50,good
Brazil,Itagi,25,good,0,good,9,good,1,good,25,good
Nigeria,Iseyin,90,moderate,3,good,18,good,2,good,90,moderate
Mexico,Isla,81,moderate,2,good,26,good,3,good,81,moderate
Brazil,Itaitinga,29,good,0,good,20,good,1,good,29,good
Brazil,Itambe,21,good,0,good,8,good,1,good,21,good
Brazil,Itapemirim,44,good,1,good,16,good,1,good,44,good
South Sudan,Torit,65,moderate,1,good,12,good,0,good,65,moderate
Guatemala,Totonicapan,66,moderate,2,good,7,good,6,good,66,moderate
United States of America,Trenton,53,moderate,1,good,28,good,10,good,53,moderate
United States of America,Trujillo Alto,56,moderate,0,good,23,good,0,good,56,moderate
Ireland,Tullamore,57,moderate,1,good,26,good,3,good,57,moderate
Turkey,Tunceli,62,moderate,0,good,35,good,0,good,62,moderate
Viet Nam,Tuyen Quang,167,unhealthy,4,good,167,unhealthy,1,good,107,unhealthy for sensitive groups
United States of America,Two Rivers,49,good,1,good,27,good,4,good,49,good
United States of America,Tysons Corner,55,moderate,2,good,25,good,11,good,55,moderate
Russian Federation,Tyukalinsk,34,good,1,good,34,good,0,good,32,good
India,Udupi,80,moderate,1,good,25,good,0,good,80,moderate
India,Umaria,163,unhealthy,2,good,92,moderate,0,good,163,unhealthy
United States of America,Willowbrook,126,unhealthy for sensitive groups,4,good,3,good,36,good,126,unhealthy for sensitive groups
United States of America,Wilmette,63,moderate,2,good,9,good,22,good,63,moderate
United States of America,Wolf Trap,53,moderate,2,good,27,good,10,good,53,moderate
United States of America,Woodhaven,86,moderate,2,good,38,good,10,good,86,moderate
China,Wulanhaote,47,good,2,good,47,good,0,good,25,good
China,Xiangdong,78,moderate,2,good,25,good,7,good,78,moderate
China,Xiaoweizhai,61,moderate,2,good,61,moderate,0,good,54,moderate
China,Xushan,112,unhealthy for sensitive groups,2,good,44,good,4,good,112,unhealthy for sensitive groups
Peru,Yanacancha,27,good,0,good,6,good,1,good,27,good
China,Yancheng,155,unhealthy,3,good,155,unhealthy,2,good,151,unhealthy
Democratic Republic of the Congo,Yangambi,121,unhealthy for sensitive groups,4,good,24,good,0,good,121,unhealthy for sensitive groups
China,Yanggu,160,unhealthy,3,good,138,unhealthy for sensitive groups,5,good,160,unhealthy
China,Yangliuqing,144,unhealthy for sensitive groups,4,good,109,unhealthy for sensitive groups,9,good,144,unhealthy for sensitive groups
China,Yanji,69,moderate,2,good,48,good,0,good,69,moderate
United States of America,Yankton,47,good,1,good,34,good,3,good,47,good
Germany,Wenden,69,moderate,1,good,34,good,4,good,69,moderate
United States of America,West Carrollton City,84,moderate,3,good,9,good,24,good,84,moderate
Belgium,Wetteren,64,moderate,1,good,32,good,6,good,64,moderate
Canada,Whitehorse,20,good,1,good,20,good,1,good,10,good
Ireland,Wicklow,38,good,1,good,30,good,3,good,38,good
Switzerland,Wil,59,moderate,1,good,27,good,3,good,59,moderate
Germany,Wildeshausen,67,moderate,1,good,30,good,5,good,67,moderate
United States of America,Williamsport,75,moderate,2,good,13,good,16,good,75,moderate
United States of America,Fox Lake,60,moderate,2,good,18,good,21,good,60,moderate
Brazil,Foz Do Iguacu,22,good,1,good,13,good,0,good,22,good
Denmark,Frederikssund,36,good,1,good,36,good,0,good,25,good
United States of America,Friendly,41,good,1,good,30,good,8,good,41,good
Germany,Fuldatal,44,good,1,good,28,good,2,good,44,good
Japan,Furano,29,good,1,good,26,good,1,good,29,good
China,Fuzhou,168,unhealthy,3,good,168,unhealthy,5,good,99,moderate
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,good,1,good,25,good,3,good,23,good
Germany,Gangelt,41,good,1,good,26,good,4,good,41,good
Germany,Garbsen,36,good,0,good,33,good,1,good,36,good
Cameroon,Garoua,59,moderate,2,good,12,good,0,good,59,moderate
Somalia,Garowe,98,moderate,0,good,17,good,0,good,98,moderate
Netherlands,Geertruidenberg,35,good,0,good,33,good,2,good,35,good
Australia,Geraldton,29,good,0,good,29,good,0,good,13,good
Germany,Germersheim,51,moderate,1,good,29,good,3,good,51,moderate
Colombia,Girardot,103,unhealthy for sensitive groups,4,good,9,good,6,good,103,unhealthy for sensitive groups
Russian Federation,Glubokiy,35,good,1,good,35,good,0,good,17,good
United Kingdom of Great Britain and Northern Ireland,Golborne,35,good,1,good,30,good,4,good,35,good
Portugal,Gondomar,27,good,0,good,27,good,2,good,21,good
Russian Federation,Goryachevodskiy,48,good,1,good,39,good,1,good,48,good
India,Govindgarh,307,hazardous,1,good,45,good,0,good,307,hazardous
Côte d'Ivoire,Grand Lahou,54,moderate,1,good,25,good,0,good,54,moderate
United States of America,Hoffman Estates,61,moderate,2,good,26,good,16,good,61,moderate
Sweden,Hoganas,36,good,1,good,36,good,1,good,30,good
United States of America,Holly Springs,42,good,1,good,42,good,2,good,37,good
Germany,Holzminden,42,good,0,good,32,good,1,good,42,good
China,Huaicheng,151,unhealthy,4,good,45,good,4,good,151,unhealthy
Ethiopia,Huruta,102,unhealthy for sensitive groups,1,good,23,good,0,good,102,unhealthy for sensitive groups
Nigeria,Idanre,115,unhealthy for sensitive groups,3,good,24,good,2,good,115,unhealthy for sensitive groups
Italy,Iglesias,64,moderate,1,good,53,moderate,1,good,64,moderate
Germany,Ihlow,40,good,1,good,30,good,2,good,40,good
Japan,Iizuka,45,good,1,good,45,good,0,good,38,good
Thailand,Sungai Kolok,65,moderate,1,good,34,good,0,good,65,moderate
Indonesia,Sungaipenuh,17,good,1,good,13,good,0,good,17,good
Russian Federation,Suvorovskaya,52,moderate,1,good,39,good,1,good,52,moderate
Japan,Suzu,69,moderate,1,good,69,moderate,1,good,60,moderate
Poland,Swiecie,44,good,1,good,33,good,1,good,44,good
Hungary,Szeged,50,good,1,good,41,good,1,good,50,good
Hungary,Szerencs,72,moderate,1,good,42,good,1,good,72,moderate
Tunisia,Taburbah,49,good,1,good,49,good,1,good,32,good
India,Tadepallegudem,127,unhealthy for sensitive groups,2,good,65,moderate,1,good,127,unhealthy for sensitive groups
Iran (Islamic Republic of),Tafresh,125,unhealthy for sensitive groups,2,good,125,unhealthy for sensitive groups,1,good,82,moderate
Philippines,Tagaytay,41,good,1,good,25,good,1,good,41,good
Japan,Tajimi,52,moderate,1,good,34,good,3,good,52,moderate
Japan,Takahagi,47,good,1,good,47,good,1,good,44,good
Japan,Takahashi,36,good,1,good,36,good,3,good,34,good
India,Tal,155,unhealthy,1,good,39,good,0,good,155,unhealthy
Philippines,Talacogon,37,good,1,good,19,good,0,good,37,good
Russian Federation,Taldom,46,good,1,good,27,good,1,good,46,good
Kazakhstan,Talgar,69,moderate,1,good,42,good,0,good,69,moderate
United States of America,Tamiami,64,moderate,1,good,18,good,12,good,64,moderate
Israel,Tamra,92,moderate,2,good,52,moderate,8,good,92,moderate
Japan,Tanashi,58,moderate,1,good,43,good,3,good,58,moderate
Romania,Tandarei,41,good,1,good,41,good,0,good,38,good
Philippines,Tantangan,35,good,1,good,20,good,0,good,35,good
Indonesia,Tarogong,88,moderate,2,good,53,moderate,1,good,88,moderate
Turkey,Tatvan,45,good,0,good,45,good,0,good,43,good
India,Yaval,102,unhealthy for sensitive groups,1,good,38,good,0,good,102,unhealthy for sensitive groups
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,moderate,1,good,24,good,7,good,58,moderate
China,Yuanping,143,unhealthy for sensitive groups,2,good,35,good,5,good,143,unhealthy for sensitive groups
China,Yuncheng,187,unhealthy,2,good,36,good,8,good,187,unhealthy
Poland,Zambrow,35,good,1,good,35,good,0,good,17,good
Poland,Zamosc,48,good,1,good,35,good,1,good,48,good
Belgium,Zaventem,58,moderate,1,good,29,good,6,good,58,moderate
Belgium,Zemst,65,moderate,1,good,27,good,8,good,65,moderate
China,Zhaozhou,73,moderate,2,good,66,moderate,0,good,73,moderate
China,Zhicheng,160,unhealthy,4,good,36,good,13,good,160,unhealthy
China,Zhongshan,98,moderate,3,good,33,good,9,good,98,moderate
China,Zhuji,156,unhealthy,4,good,45,good,10,good,156,unhealthy
Mexico,Zimatlan,75,moderate,2,good,9,good,6,good,75,moderate
Mexico,Zinacantepec,163,unhealthy,4,good,8,good,18,good,163,unhealthy
Russian Federation,Zmeinogorsk,35,good,1,good,35,good,0,good,21,good
Netherlands,Aalburg,30,good,0,good,30,good,2,good,29,good
Spain,Abaran,47,good,1,good,21,good,2,good,47,good
Italy,Abbiategrasso,69,moderate,1,good,37,good,4,good,69,moderate
Côte d'Ivoire,Abidjan,105,unhealthy for sensitive groups,4,good,15,good,4,good,105,unhealthy for sensitive groups
Mexico,Acuautla,189,unhealthy,2,good,9,good,15,good,189,unhealthy
United States of America,Acworth,64,moderate,2,good,37,good,8,good,64,moderate
United States of America,Adelphi,54,moderate,1,good,32,good,5,good,54,moderate
India,Afzalgarh,198,unhealthy,4,good,198,unhealthy,3,good,188,unhealthy
Nigeria,Agbor,139,unhealthy for sensitive groups,7,good,13,good,5,good,139,unhealthy for sensitive groups
France,Aix En Provence,55,moderate,1,good,26,good,3,good,55,moderate
Myanmar,Akyab,145,unhealthy for sensitive groups,1,good,46,good,0,good,145,unhealthy for sensitive groups
United States of America,Alabaster,80,moderate,1,good,18,good,10,good,80,moderate
Russian Federation,Alagir,50,good,1,good,36,good,1,good,50,good
Belgium,Alken,35,good,1,good,25,good,3,good,35,good
Canada,Alma,55,moderate,1,good,27,good,0,good,55,moderate
Brazil,Almirante Tamandare,13,good,1,good,12,good,1,good,13,good
Spain,Almoradi,48,good,1,good,23,good,3,good,48,good
Papua New Guinea,Alotau,28,good,0,good,28,good,0,good,13,good
Germany,Altotting,50,good,1,good,29,good,3,good,50,good
Madagascar,Ambovombe,26,good,0,good,26,good,0,good,20,good
China,Anqiu,107,unhealthy for sensitive groups,2,good,107,unhealthy for sensitive groups,5,good,86,moderate
Madagascar,Antalaha,22,good,0,good,22,good,0,good,20,good
United States of America,Antioch,76,moderate,3,good,7,good,25,good,76,moderate
Lithuania,Anyksciai,47,good,1,good,32,good,0,good,47,good
Ghana,Apam,104,unhealthy for sensitive groups,2,good,14,good,1,good,104,unhealthy for sensitive groups
Mexico,Apaseo El Grande,60,moderate,1,good,16,good,5,good,60,moderate
Brazil,Aragarcas,32,good,1,good,3,good,2,good,32,good
Russian Federation,Arkadak,28,good,1,good,28,good,1,good,15,good
France,Armentieres,34,good,0,good,28,good,2,good,34,good
Russian Federation,Arsk,28,good,1,good,28,good,1,good,19,good
Azerbaijan,Artyom,48,good,1,good,35,good,0,good,48,good
Armenia,Ashtarak,39,good,1,good,29,good,1,good,39,good
Ethiopia,Asosa,97,moderate,1,good,14,good,0,good,97,moderate
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,moderate,1,good,37,good,0,good,75,moderate
India,Atarra,194,unhealthy,1,good,44,good,0,good,194,unhealthy
Guatemala,Atescatempa,104,unhealthy for sensitive groups,3,good,5,good,10,good,104,unhealthy for sensitive groups
Italy,Atri,57,moderate,1,good,40,good,3,good,57,moderate
Ukraine,Avdiyivka,41,good,1,good,41,good,3,good,27,good
Portugal,Avintes,37,good,1,good,16,good,7,good,37,good
Malaysia,Ayer Keroh,59,moderate,1,good,34,good,0,good,59,moderate
United Kingdom of Great Britain and Northern Ireland,Ayr,29,good,1,good,29,good,2,good,20,good
Netherlands,Baarn,34,good,0,good,34,good,1,good,26,good
Serbia,Backa Palanka,70,moderate,1,good,41,good,0,good,70,moderate
Germany,Bad Langensalza,32,good,0,good,30,good,1,good,32,good
Pakistan,Bahawalnagar,500,hazardous,1,good,38,good,1,good,466,hazardous
South Africa,Balfour,380,hazardous,31,good,1,good,26,good,380,hazardous
South Africa,Ballitoville,222,very unhealthy,12,good,5,good,14,good,222,very unhealthy
Thailand,Ban Phai,52,moderate,0,good,28,good,0,good,52,moderate
Malaysia,Bandar Penggaram,76,moderate,1,good,39,good,0,good,76,moderate
Philippines,Bangued,27,good,0,good,23,good,0,good,27,good
Slovakia,Banovce,59,moderate,1,good,26,good,2,good,59,moderate
Germany,Bargteheide,38,good,0,good,28,good,2,good,38,good
United States of America,Bartlesville,56,moderate,1,good,23,good,6,good,56,moderate
Gambia,Basse,127,unhealthy for sensitive groups,1,good,18,good,0,good,127,unhealthy for sensitive groups
Pakistan,Bat Khela,117,unhealthy for sensitive groups,1,good,117,unhealthy for sensitive groups,1,good,78,moderate
Malaysia,Batu Gajah,92,moderate,2,good,57,moderate,1,good,92,moderate
India,Bazpur,182,unhealthy,5,good,170,unhealthy,5,good,182,unhealthy
Italy,Castel Goffredo,124,unhealthy for sensitive groups,2,good,32,good,7,good,124,unhealthy for sensitive groups
Italy,Catanzaro,68,moderate,2,good,68,moderate,6,good,57,moderate
Philippines,Catbalogan,68,moderate,1,good,26,good,0,good,68,moderate
Ecuador,Cayambe,39,good,1,good,4,good,2,good,39,good
Bosnia and Herzegovina,Cazin,50,good,1,good,33,good,0,good,50,good
Italy,Cernusco Sul Naviglio,103,unhealthy for sensitive groups,1,good,33,good,6,good,103,unhealthy for sensitive groups
Italy,Cesenatico,38,good,1,good,36,good,5,good,38,good
Czechia,Ceske Budejovice,61,moderate,1,good,38,good,1,good,61,moderate
Argentina,Chacabuco,17,good,0,good,17,good,1,good,17,good
Peru,Chachapoyas,21,good,0,good,4,good,0,good,21,good
France,Chalon Sur Saone,32,good,1,good,32,good,1,good,20,good
China,Chaoyang,151,unhealthy,3,good,119,unhealthy for sensitive groups,1,good,151,unhealthy
Viet Nam,Chau Doc,57,moderate,1,good,32,good,0,good,57,moderate
Russian Federation,Cherepanovo,38,good,1,good,38,good,0,good,35,good
Russian Federation,Cherkessk,49,good,1,good,40,good,0,good,49,good
India,Chhabra,171,unhealthy,1,good,42,good,0,good,171,unhealthy
India,Chilakalurupet,91,moderate,1,good,28,good,1,good,91,moderate
Mexico,Chilpancingo,72,moderate,2,good,4,good,5,good,72,moderate
India,Chipurupalle,153,unhealthy,2,good,22,good,6,good,153,unhealthy
Poland,Chojnow,59,moderate,1,good,25,good,2,good,59,moderate
India,Chotila,157,unhealthy,0,good,31,good,1,good,157,unhealthy
United States of America,Cimarron Hills,73,moderate,1,good,32,good,2,good,73,moderate
Brazil,Claudio,71,moderate,2,good,3,good,6,good,71,moderate
Brazil,Clevelandia,17,good,0,good,17,good,0,good,11,good
Brazil,Coari,46,good,1,good,2,good,0,good,46,good
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,good,1,good,12,good,9,good,35,good
Ireland,Cobh,24,good,0,good,24,good,1,good,16,good
Brazil,Colatina,45,good,1,good,14,good,2,good,45,good
Romania,Comanesti,61,moderate,1,good,40,good,0,good,61,moderate
Dominican Republic,Comendador,65,moderate,1,good,12,good,6,good,65,moderate
Italy,Como,112,unhealthy for sensitive groups,1,good,34,good,4,good,112,unhealthy for sensitive groups
Brazil,Conde,19,good,0,good,19,good,0,good,11,good
United Kingdom of Great Britain and Northern Ireland,Consett,31,good,0,good,31,good,2,good,22,good
United States of America,Cooper City,152,unhealthy,4,good,4,good,19,good,152,unhealthy
United States of America,Copperas Cove,31,good,1,good,21,good,1,good,31,good
Brazil,Cornelio Procopio,37,good,1,good,12,good,1,good,37,good
Argentina,Corrientes,13,good,1,good,12,good,0,good,13,good
Mexico,Cotija,41,good,1,good,8,good,3,good,41,good
Italy,Crevalcore,103,unhealthy for sensitive groups,2,good,28,good,9,good,103,unhealthy for sensitive groups
Azerbaijan,Culfa,52,moderate,1,good,35,good,0,good,52,moderate
Spain,Culleredo,30,good,0,good,30,good,2,good,13,good
India,Cuncolim,73,moderate,0,good,25,good,0,good,73,moderate
Brazil,Curvelo,42,good,1,good,2,good,4,good,42,good
Germany,Cuxhaven,35,good,0,good,35,good,0,good,30,good
United States of America,Cypress Lake,46,good,1,good,25,good,5,good,46,good
Poland,Czestochowa,93,moderate,1,good,27,good,4,good,93,moderate
Guinea,Dalaba,63,moderate,2,good,13,good,0,good,63,moderate
Pakistan,Dalbandin,160,unhealthy,0,good,39,good,0,good,160,unhealthy
France,Beaune,39,good,1,good,26,good,1,good,39,good
United States of America,Bedford,56,moderate,1,good,18,good,6,good,56,moderate
Ghana,Begoro,105,unhealthy for sensitive groups,2,good,13,good,2,good,105,unhealthy for sensitive groups
China,Beipiao,93,moderate,2,good,90,moderate,1,good,93,moderate
Brazil,Bela Cruz,45,good,0,good,22,good,0,good,45,good
Bolivia (Plurinational State of),Bermejo,54,moderate,1,good,8,good,1,good,54,moderate
Germany,Bernburg,36,good,0,good,29,good,2,good,36,good
United States of America,Berwick,50,good,1,good,35,good,5,good,50,good
India,Betma,153,unhealthy,1,good,34,good,0,good,153,unhealthy
United States of America,Beverly,48,good,1,good,36,good,5,good,48,good
Russian Federation,Bezhetsk,24,good,0,good,24,good,0,good,24,good
Bangladesh,Bhairab Bazar,132,unhealthy for sensitive groups,3,good,44,good,4,good,132,unhealthy for sensitive groups
Pakistan,Bhalwal,179,unhealthy,3,good,179,unhealthy,2,good,166,unhealthy
India,Bhimavaram,124,unhealthy for sensitive groups,1,good,36,good,1,good,124,unhealthy for sensitive groups
India,Bhinmal,202,very unhealthy,0,good,34,good,0,good,202,very unhealthy
India,Bhiwandi,151,unhealthy,1,good,26,good,1,good,151,unhealthy
Indonesia,Binjai,92,moderate,2,good,45,good,0,good,92,moderate
Brazil,Baiao,39,good,1,good,5,good,0,good,39,good
Russian Federation,Baksan,48,good,1,good,39,good,1,good,48,good
Sudan,Bara,52,moderate,2,good,17,good,0,good,52,moderate
Colombia,Baranoa,104,unhealthy for sensitive groups,1,good,16,good,2,good,104,unhealthy for sensitive groups
Philippines,Baras,51,moderate,1,good,27,good,1,good,51,moderate
Iran (Islamic Republic of),Bardsir,91,moderate,1,good,49,good,0,good,91,moderate
India,Bari Sadri,167,unhealthy,1,good,32,good,0,good,167,unhealthy
Thailand,Nong Bua,38,good,0,good,20,good,0,good,38,good
Thailand,Nong Han,57,moderate,0,good,25,good,0,good,57,moderate
Netherlands,Noordwijkerhout,41,good,1,good,27,good,5,good,41,good
United States of America,North Andrews Gardens,78,moderate,1,good,11,good,12,good,78,moderate
United States of America,Northbridge,47,good,1,good,46,good,2,good,47,good
United Kingdom of Great Britain and Northern Ireland,Norwich,29,good,0,good,29,good,3,good,18,good
Serbia,Novi Becej,60,moderate,1,good,34,good,1,good,60,moderate
Netherlands,Nuenen,37,good,1,good,32,good,3,good,37,good
Chile,Nueva Imperial,61,moderate,2,good,2,good,9,good,61,moderate
Panama,Nuevo Arraijan,67,moderate,2,good,20,good,5,good,67,moderate
Mexico,Nuevo Casas Grandes,46,good,1,good,17,good,2,good,46,good
United States of America,Oak Lawn,79,moderate,2,good,13,good,27,good,79,moderate
United States of America,Oakdale,53,moderate,1,good,24,good,9,good,53,moderate
Ghana,Obuasi,81,moderate,1,good,18,good,0,good,81,moderate
Japan,Odawara,39,good,1,good,38,good,2,good,39,good
Germany,Oer Erkenschwick,34,good,1,good,34,good,2,good,27,good
Republic of North Macedonia,Ohrid,42,good,1,good,41,good,0,good,42,good
Japan,Okawa,41,good,2,good,36,good,5,good,41,good
Poland,Olecko,47,good,1,good,36,good,0,good,47,good
